
tree: [ 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
        1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
        0 0 0 0 1 0 1 0 0 0 0 1 0 0 0
        0 0 0 0 0 0 1 0 0 0 1 1 0 0 1
        0 1 0 1 0 0 0 0 0 0 0 0 0 1 0
        0 1 0 0 0 1 1 0 1 0 0 0 0 0 0
        0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
        0 0 0 0 0 0 0 0 1 0 0 1 0 1 0
        0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
        1 0 0 1 0 0 0 0 0 1 0 1 0 0 0
        0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
        1 0 1 0 1 1 0 0 0 0 0 0 1 1 0
        0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
        1 0 0 0 0 0 1 0 0 0 0 0 1 0 1
        0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 ]

R : [3 2 4 1 5 1 4 2 4 1 4 2 5 1 6]

C : [4 3 1 3 4 0 5 2 4 1 4 3 4 1 6]
